2026-06-30 22:02:53.618136 | Speed: 25 km/h | RPM: 4670
2026-06-30 22:02:55.624720 | Speed: 67 km/h | RPM: 4814
2026-06-30 22:02:57.626324 | Speed: 40 km/h | RPM: 4187
2026-06-30 22:02:59.627410 | Speed: 16 km/h | RPM: 2280
2026-06-30 22:03:01.629361 | Speed: 66 km/h | RPM: 3223
2026-06-30 22:03:03.632431 | Speed: 15 km/h | RPM: 1551
2026-06-30 22:03:05.636237 | Speed: 69 km/h | RPM: 3654
2026-06-30 22:03:07.637835 | Speed: 50 km/h | RPM: 2609
2026-06-30 22:03:09.639986 | Speed: 94 km/h | RPM: 3761
2026-06-30 22:03:11.641519 | Speed: 29 km/h | RPM: 2287
2026-06-30 22:03:13.643729 | Speed: 44 km/h | RPM: 3730
2026-06-30 22:03:15.646451 | Speed: 50 km/h | RPM: 2297
2026-06-30 22:03:17.647485 | Speed: 39 km/h | RPM: 1468
2026-06-30 22:03:19.656061 | Speed: 14 km/h | RPM: 1786
2026-06-30 22:03:21.658861 | Speed: 80 km/h | RPM: 4249
2026-06-30 22:03:23.668112 | Speed: 66 km/h | RPM: 1101
2026-06-30 22:03:25.669768 | Speed: 17 km/h | RPM: 2851
2026-06-30 22:03:27.671222 | Speed: 58 km/h | RPM: 4803
2026-06-30 22:03:29.674191 | Speed: 76 km/h | RPM: 4461
2026-06-30 22:03:31.677198 | Speed: 27 km/h | RPM: 4982
2026-06-30 22:03:33.679460 | Speed: 45 km/h | RPM: 1634
2026-06-30 22:03:35.681670 | Speed: 72 km/h | RPM: 2570
2026-06-30 22:03:37.683269 | Speed: 94 km/h | RPM: 1648
2026-06-30 22:03:39.685168 | Speed: 21 km/h | RPM: 2847
2026-06-30 22:03:41.686439 | Speed: 59 km/h | RPM: 725
2026-06-30 22:03:43.696948 | Speed: 80 km/h | RPM: 2469
2026-06-30 22:03:45.697837 | Speed: 35 km/h | RPM: 3073
2026-06-30 22:03:47.700333 | Speed: 91 km/h | RPM: 1526
2026-06-30 22:03:49.701123 | Speed: 17 km/h | RPM: 1625
2026-07-10 11:51:58.843707 | Speed: 37 km/h | RPM: 4304
2026-07-10 11:52:00.845920 | Speed: 62 km/h | RPM: 3546
2026-07-10 11:52:02.847468 | Speed: 4 km/h | RPM: 1663
2026-07-10 11:52:04.849008 | Speed: 34 km/h | RPM: 3503
